Rank,Bank name,Market cap(US$ billion),Market cap(EUR billion),Market cap(GBP billion),Market cap(INR billion)
1,JPMorgan Chase,432.92,402.6156,346.336,35910.714
2,Bank of America,231.52,215.3136,185.216,19204.584
3,Industrial and Commercial Bank of China,194.56,180.9408,155.648,16138.752
4,Agricultural Bank of China,160.68,149.4324,128.544,13328.406
5,HDFC Bank,157.91,146.8563,126.328,13098.6345
6,Wells Fargo,155.87,144.9591,124.696,12929.4165
7,HSBC Holdings PLC,148.9,138.477,119.12,12351.255
8,Morgan Stanley,140.83,130.9719,112.664,11681.8485
9,China Construction Bank,139.82,130.0326,111.856,11598.069
10,Bank of China,136.81,127.2333,109.448,11348.3895
